French,English
malédiction,curse
masse,mass
phrase,phrasing
pompes,pumps
reconnaissant,grateful
pension,pension
renoncer,to renouncer
sexuelle,sexual
regardant,looking
ordonne,ordered
four,oven
règne,reign
saut,jump
terreur,terror
avaler,swallow
ongles,nail
pratiquement,practically
laissons,Let us leave
jalouse,jealous
outils,tools
espérer,to hope
tueurs,killers
terriblement,terribly
charité,charity
prêtes,ready
écriture,writing
oublies,forget
adorent,love
etje,and I
luxe,luxury
irez,go on
ambassadeur,ambassador
bush,bush
arrêtera,will stop
informer,inform
orage,thunderstorm
revenus,income
pisse,piss
renvoyé,fired
sachant,knowing
tombes,fallen down
rois,kings
époux,husband
accueil,welcome
relève,succession
judy,Judy
aidez,Help
môme,kid
diego,diego
atmosphère,atmosphere
routes,roads
ravissante,ravishing
coach,coach
ennui,boredom
suffisant,sufficient
poème,poem
jouets,toys
jennifer,Jennifer
usage,use
prières,prayers
revue,review
adaptation,adaptation
suffira,will suffice
collège,middle School
singes,monkeys
otage,hostage
apprécier,enjoy
diplôme,diploma
bâtard,bastard
destination,destination
analyse,to analyse
caroline,caroline
demandent,request
décembre,december
côtes,ribs
casier,locker
fermes,farms
patrouille,patrol
royal,royal
tit,tit
mérites,merits
texte,text
jusque,until
tigre,tiger
çà,that
be,be
médical,medical
ieur,ire
svp,please
ron,ron
pouce,inch
plaisantez,joke
requin,shark
essentiel,essential
espèces,species
fruit,fruit
came,cam
cesser,to cease
allen,Allen
teddy,teddy
annulé,canceled
dangereuse,dangerous
poète,poet
nanas,nanas
tiendra,will hold
emmenez,take
passerai,will pass
automne,fall
habillé,dressed
guerrier,warrior
pique,spike
savon,soap
satisfait,satisfied
sépare,separate
agi,act
ordonné,ordered
serre,tight
neil,neil
cassée,broken
deviez,had to
arts,arts
ramasser,pick up
anthony,anthony
baisser,to lower
pirates,pirates
avertir,to warn
menacé,threatens
so,SO
détendre,loosen
rembourser,to reimburse
fabrique,made
métal,metal
expliqué,Explain
lecture,reading
josh,josh
attire,attracted
carrément,downright
irons,irons
mere,mother
combats,fighting
pensons,Think
mélange,mixed
travaillais,work
syndicat,union
queique,asic
indice,index
marines,navy
enverrai,will send
hill,hill
processus,process
joint,seal
ouvriers,workers
marques,brands
dépassé,outmoded
pa,pa
ailles,wounds
bats,bats
pourront,may
clown,clown
poubelle,trash can
marins,sailors
boisson,beverage
vaincre,overcome
combinaison,combination
demandait,asked
testament,will
sonné,wounded
flammes,flames
dégueulasse,disgusting
ø,Ø
administration,administration
commissariat,police station
envoyée,envoy
green,green
dépose,deposit
lâché,cowardly
réveillée,awake
épaules,shoulders
jay,jay
artistes,artists
culotte,cheeky
vides,empty
er,er
énormément,enormously
team,team
quittes,quit
accuse,accused
magicien,Wizard
importants,important
direz,you will say
fouiller,to frisk
paierai,will pay
écoles,schools
cm,cm
reverra,will see again
articles,items
trône,throne
laboratoire,laboratory
Andrew,Andrew
panier,basket
endormi,sleeping
lave,wash
buddy,Buddy
cuir,leather
huh,huh
foutus,damn
resterai,will remain
cendres,ashes
stone,stone
environnement,environment
rumeur,rumor
interrompre,interrupt
vaudrait,would be worth
matinée,morning
risquer,risk
tranquilles,quiet
earl,earl
transformer,transform
planté,plant
costumes,costumes
mickey,Mickey
machin,thing
transport,transportation
señor,señor
indique,noted
citoyen,citizen
aurions,will have
times,Times
viol,rape
particulièrement,particularly
pourrons,can
shirt,shirt
connards,assholes
casino,casino
douter,doubt
pendre,hang
essaierai,will try
accomplir,accomplish
pipi,Pee
allumer,to light up
reviennent,come back
certes,certainly
dessert,dessert
curiosité,curiosity
fraîche,fresh
lié,related
maurice,Mauritius
little,Little
disaient,said
vodka,vodka
pétrin,kneaded
témoignage,testimony
déclare,declared
scientifiques,scientists
coco,coconut
baissez,lower
Anderson,Anderson
censés,supposed
Kansas,Kansas
boules,balls
sauras,sauest
éclair,flash
vain,vain
nuage,cloud
création,creation
anneau,ring
fumier,manure
rio,rio
dose,dose
profonde,deep
étude,study
atelier,workshop
cuisiner,to cook
vaux,vaux
malheureuse,unhappy
catholique,Catholic
zoo,zoo
précisément,precisely
talents,talents
activités,activities
importantes,important
bouteilles,bottles
vomir,To vomit
tonnerre,thunder
ned,ned
assuré,insured
plantes,plants
hong,Hong
destinée,destiny
plaisanterie,joke
circuit,circuit
piges,rods
Moore,Moore
observer,observe
mines,mines
peindre,to paint
porno,porn
comtesse,countess
casque,helmet
rate,missed
coûter,cost
chacune,each
Jamie,Jamie
parent,parent
dépression,depression
télégramme,telegram
élu,elected
stupides,stupid
pensiez,think
partant,go by
cash,cash
profite,take advantage
caution,bail
serrer,to squeeze
maudite,cursed
intéresser,to interest
écart,difference
inquiètes,worried
oú,Where
évidence,evidence
leçons,lessons
connus,known
etc,etc
retiré,took of
Greg,Greg
rendent,make
volontaire,voluntary
nid,nest
Oliver,Oliver
he,Hey
prêter,lend
nichons,tits
capitale,capital city
témoigner,bear witness
équipes,teams
égoïste,self-centered
partent,leave
troupe,troop
sincèrement,sincerely
regretter,to regret
responsabilités,responsibilities
associés,associates
cigare,cigar
dean,dean
partirai,will leave
adversaire,opponent
générale,general
misère,misery
vampires,vampires
grève,strike
Nina,Nina
suisse,Swiss
gâteaux,cakes
diamant,diamond
catastrophe,disaster
meubles,furniture
gus,gus
voyages,trips
subir,undergo
balade,stroll
allah,Allah
mêler,mix
signez,sign
enveloppe,envelope
ressenti,feeling
führer,führer
gras,bold
arrêtée,arrested
explose,explode
range,tidy
interview,interview
tombent,fall
confier,entrust
voile,sail
fiches,cards
embête,annuity
caravane,caravan
affection,affection
Manhattan,Manhattan
éléphant,elephant
blue,Blue
vagues,waves
pleins,full
fascinant,fascinating
doutais,doubt
effrayant,scary
commercial,commercial
rapporter,report
fonction,function
fixe,fixed
arrete,stopped
pères,fathers
circulation,traffic
tennis,tennis
Marc,Marc
navrée,heartbroken
civilisation,civilization
fameux,famous
retenu,retained
moutons,sheep
draps,sheets
servent,serve
jouais,played
éternelle,eternal
couches,layers
satellite,satellite
ramasse,picked up
endormir,put to sleep
fillette,girl
rendra,will return
sujets,topics
remède,remedy
portez,wear
enseigner,teach
observe,observed
ouverts,open
vues,views
sortait,was going out
passais,passed
ris,laugh
transfert,transfer
bidon,can
météo,weather report
explosé,exploded
loyauté,loyalty
dignité,dignity
planche,plank
améliorer,to improve
hélicoptère,helicopter
civil,civil
liens,connections
vif,vivid
maintenir,maintain
Craig,Craig
Vietnam,Vietnam
Claude,Claude
pacifique,peaceful
fringues,clothes
demie,a half
onze,eleven
we,we
mangent,eat
connaissiez,knew
rares,rare
naturelle,natural
sue,sue
ricky,ricky
assaut,assault
fâchée,angry
portent,carry
kay,kay
karl,karl
pareils,the same
légal,legal
tracy,tracy
eus,eus
pr,pr
civils,civilians
inconnue,unknown
eva,Eva
disparition,disappearance
nicky,nicky
steven,Steven
pompe,pump
méchante,naughty
lancement,launch
quartiers,neighborhoods
douceur,candy
tendu,tense
feuille,sheet
stuart,Stuart
leader,leader
pilotes,pilots
ètait,was
mâle,male
tenais,held
royale,royal
cordes,ropes
arrivez,arrive
bandes,bands
promenade,ride
magnifiques,magnificent
emma,Emma
wallace,wallace
veronica,Veronica
tv,TV
adn,DNA
monseigneur,My lord
meure,detection
airs,tune
emmenée,taken
actuellement,currently
peste,plague
Antonio,Antonio
tragique,tragic
médias,media
antenne,antenna
avertissement,Warning
brille,shines
Pedro,Pedro
conflit,conflict
pompiers,firefighters
engin,machine
douée,gifted
oublions,forget
plains,plains
systèmes,systems
foire,fair
Sonny,Sonny
patiente,patient
coincée,stuck
canons,cannons
partira,will leave
soutenir,sustain
beach,beach
poussez,PUSH
saigne,bleeding
toc,knock
construction,construction
boucher,butcher
missiles,missiles
compétition,competition
buvons,let's drink
motif,pattern
ambassade,embassy
warren,warren
régiment,regiment
remarquer,to remark
enregistré,checked in
collins,collins
enregistrement,registration
doutes,doubts
sien,his
profit,profit
sammy,sammy
audition,hearing
lame,blade
opportunité,opportunity
scotch,Scotch
imaginé,conceived
coke,coke
existent,exist
budget,budget
pearl,pearl
basse,low
selle,saddle
déja,already
historique,historical
officiellement,officially
effacer,wipe off
loge,lodge
francis,francis
décrire,describe
osé,daring
éternel,eternal
serpents,snakes
demanderai,will ask
médicament,medication
deviné,guess
armées,armies
promesses,promises
chaînes,chains
sentait,felt
association,association
viennes,viennes
quai,platform
poker,poker
saleté,dirt
sandy,sandy
ã,has
irak,Iraq
commences,outburst
crevé,outstanding
cuba,Cuba
wendy,Wendy
profil,profile
travis,twist
tache,stain
viendront,will come
étudie,studied
apportez,bring
tribu,tribe
crié,calls out
entraîne,lead
héroïne,heroin
changements,changes
joan,joan
correctement,properly
essaient,try
mouvements,movements
atterrir,to land
formes,shapes
coca,Coca
fragile,brittle
poignée,handle
cadre,frame
genou,knee
conçu,designed
revu,saw again
légitime,legit
sauvée,saved
déménager,to relocate
conne,stupid
dentiste,dentist
aiier,aier
ondes,waves
ralph,ralph
mené,led
discipline,discipline
évacuer,clear out
parié,betrayed
bières,beers
arabe,Arab
Russell,Russell
identifié,identified
recevez,receive
cachée,hidden
évite,avoid
dormais,dreamed
utilisez,use
décès,death
guy,guy
get,Get
demoiselle,lady
fui,fled
ressemblent,look alike
misérable,wretched
fatigue,fatigue
ancêtres,ancestors
camions,truck
dormez,sleep
pan,bang
duré,hard
disponible,available
vôtres,yours
cuit,cooked
marchait,was walking
nage,swimming
come,come
suspects,suspect
menottes,handcuffs
nique,nique
panneau,sign
rit,laugh
pognon,cash
illusion,illusion
menu,menu
Ronnie,Ronnie
établir,establish
mettons,let's put
retrouvée,found
sabre,saber
André,André
épuisé,exhausted
restés,remains
continues,continuous
chanteur,singer
kid,kid
lola,lola
prés,close
tendance,tendency
souvient,Remember
enfermer,enclose
thérapie,therapy
vaisselle,dishes
tournez,turn
accorde,granted
chemins,paths
troupeau,herd
saluer,greet
uh,UH
Kennedy,Kennedy
nettoie,clean
assiette,plate
discuté,discussed
touches,keys
impact,impact
dessins,drawings
rompre,to break up
suivent,follow
sienne,his
verrons,will see
angoisse,anguish
états,states
vivons,let's live
Mitchell,Mitchell
écrasé,crushed
tiennent,hold
pape,Pope
connaissons,let's know
Murphy,Murphy
Ivan,Ivan
supposé,Assumed
colonne,column
assistante,assistant
mettrai,will put
maquillage,makeup
ticket,ticket
réussite,success
quête,quest
boxe,boxing
proposer,to propose
boutons,buttons
arriverait,would arrive
assassins,assassins
répétition,repetition
agissait,acted
culpabilité,guilt
pirate,pirate
blanches,white
brésil,Brazil
penny,penny
maîtres,masters
psychiatre,psychiatrist
miracles,miracles
hello,Hello
honorable,honorable
collines,Hills
vachement,really
taureau,bull
considère,considered
âne,donkey
whoa,whoa
comprennent,understand
Christian,Christian
Justin,Justin
méthodes,methods
canal,channel
navette,shuttle bus
Tyler,Tyler
légère,light
sortant,outgoing
chaussettes,socks
revanche,revenge
remet,put back
mentez,lie
bud,bud
Abby,Abby
poils,fur
placer,to place
absent,absent
arrivais,arrived
escaliers,stairs
funérailles,funeral
routine,routine
noté,note
prenais,took
conducteur,driver
subi,suffered
photographe,photographer
noires,black
marchandise,merchandise
prendrais,would take
émotion,emotion
défaut,default
satan,Satan
occuperai,will occupy
dog,dog
mystérieux,mysterious
carmen,carmen
possession,possession
responsables,managers
raccroche,hang up
intentions,intentions
minimum,minimum
négocier,to negotiate
janvier,January
baraque,barrack
batte,bat
irlandais,Irish
filet,net
confortable,comfortable
fermés,closed
ressources,resources
rayons,rays
innocente,innocent
Harvard,Harvard
expédition,dispatch
may,May
profession,occupation
plaira,will please
bêtise,stupidity
restant,remaining
jugé,judge
Mitch,Mitch
organise,organized
rappelé,recalled
puissante,powerful
pertes,losses
saurait,would know
planque,hideout
ressentir,to feel
grotte,cave
gentiment,kindly
péter,to fart
chienne,female dog
tristesse,sadness
héritage,legacy
occupera,will occupy
Benjamin,Youngest
Antoine,Antoine
bloqué,blocked
punition,punishment
constamment,constantly
contents,happy
visites,visits
infiniment,infinitely
effectivement,effectively
chiffre,figure
conscient,aware
manager,manager
représentant,representing
anglaise,English
cauchemars,nightmares
Jan,Jan
continué,keep on going
réduit,reduced
gré,grateful
filmé,filmed
stars,stars
Owen,Owen
embrassé,embraced
peint,painted
reparti,disturb
soie,silk
Lloyd,Lloyd
voisine,neighbor
douzaine,dozen
frankenstein,Frankenstein
attaques,attacks
gênant,annoying
superman,superman
arrivant,arrival
brillante,brilliant
atterrissage,landing
attendra,will wait
allure,pace
pénible,hard
faibles,weak
clef,key
Bruno,Bruno
Christine,Christine
Rebecca,Rebecca
bang,bang
pété,farty
gardiens,guards
formule,formula
soda,soda
frites,fries
fées,fairies
angel,angel
mm,mm
aperçu,Overview
imaginais,imagined
aussitôt,right away
énormes,huge
wade,wade
choisit,choose
montée,climb
baignoire,bathtub
principes,principles
homo,homo
marchand,merchant
cochons,pigs
spécialiste,specialist
repéré,spotted
récupéré,recovered
extra,extra
éclate,bursts
survivants,survivors
auquel,to which
apparence,appearance
sucer,suck
habiter,to live in
excité,excited
Houston,Houston
jules,Jules
foudre,lightning
chasseurs,hunters
walker,walker
with,with
nièce,niece
urgences,emergency room
mérité,deserved
dépensé,spent
boys,boys
saisir,to input
équilibre,balance
allumé,alight
lâches,cowardly
bruits,noise
protégé,protected
résolu,resolved
probable,likely
poursuite,pursuit
baker,baker
résidence,residence
cognac,cognac
Clyde,Clyde
muscles,muscles
passées,past
intime,respondent
république,Republic
serviteur,servant
noyer,walnut
mortes,dead
trompée,deceived
morgue,morgue
cherchons,let's look
coma,coma
capables,capable
berger,shepherd
apprendra,will learn
amateur,amateur
dises,say
vertu,virtue
permets,allow
mafia,mafia
engagement,commitment
lesquelles,which
cachette,hiding place
